full_id,osm_id,osm_type,fare_zone,line,name,name:ru,network,public_transport,railway,source_ref,station,subway,wheelchair,wikidata,wikipedia,platforms,train,bicycle,old_name,entrance,level,operator,alt_name:ru,naptan:AtcoCode,ref:crs,layer,name:da,addr:postcode,alt_name,addr:street,start_date,wikimedia_commons,addr:housename,addr:city,addr:country,ref,wheelchair:description,description,barrier
n6411992668,"6411992668",node,"1","Circle;District;Piccadilly",Gloucester Road,Глостер Роуд,London Underground,station,station,,subway,yes,no,Q1431088,en:Gloucester Road tube station,,,,,,,,,,,,Gloucester Road Station,,,,,,,,,,Step-free from train to Circle line platforms 2 & 3 to view Mural on north retaining wall. Stairs only between platforms and to booking office and gateline.,,
n6414013291,"6414013291",node,"1",Central,Marble Arch,Марбл-Арч,London Underground,station,station,,subway,yes,,Q786259,en:Marble Arch tube station,,,,,,,,Мраморная арка,,,,Marble Arch Station,,,,,,,,,,,,
n6440680616,"6440680616",node,"2","Hammersmith & City;Circle",Westbourne Park,Уэстбурн-парк,London Underground,station,station,,subway,yes,no,Q1857925,en:Westbourne Park tube station,,,,,,,,,,,,,,,,,,,,,,,,
n6460794385,"6460794385",node,"2","Circle;Hammersmith & City",Ladbroke Grove,Лэдброк-Гроув,London Underground,station,station,https//en.wikipedia.org/wiki/List_of_London_Underground_stations,subway,yes,no,Q1411854,en:Ladbroke Grove tube station,,,,,,,Transport for London,,,,,,,,,,,,,,,,,
n6472438171,"6472438171",node,"2",Central,Holland Park,Холланд-парк,London Underground,station,station,,subway,yes,no,Q615430,en:Holland Park tube station,,,,,,,Transport for London,,,,,,,,,,,,,,,,reopened,
n6486933493,"6486933493",node,"1",Central,Queensway,Квинсвей,London Underground,station,station,,subway,yes,,Q649184,en:Queensway tube station,,,,,,,,,,,,,,,,,,,,,,,,
n6758474986,"6758474986",node,"2",Bakerloo,Maida Vale,Мейда-вейл,London Underground,station,station,,subway,yes,no,Q1885195,en:Maida Vale tube station,,,,,,,,,,,,,,,,,,,,,,,,
n6991125994,"6991125994",node,,,Shepherd's Bush,,"National Rail;London Overground",station,station,,,,,,en:Shepherd's Bush railway station,"2",yes,,,,,,,9100SHPDSB,SPB,,,,,,,,,,,,,,
n7132105210,"7132105210",node,,,London Paddington,Паддингтон,"National Rail;TfL Rail",station,station,,,,yes,,en:London Paddington station,,yes,,,,,Network Rail,,9100PADTON,PAD,"1",,W2 1HQ,Paddington,Praed Street,,,,,,,,,
n7775331596,"7775331596",node,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turnstile
n7775331597,"7775331597",node,,,,,,station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turnstile
n7775331599,"7775331599",node,,,,,,station,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,turnstile
